"cmd","attr","lhs","rhs","verbose","raw","tag","setting_source"
i,,<C-@>,insert previously inserted text and stop insert,,|i_CTRL-@|	CTRL-@		insert previously inserted text and stop insert,i_CTRL-@,builtin
i,,<C-a>,insert previously inserted text,,|i_CTRL-A|	CTRL-A		insert previously inserted text,i_CTRL-A,builtin
i,,<C-b>,not used |i_CTRL-B-gone|,,		CTRL-B		not used |i_CTRL-B-gone|,,builtin
i,,<C-c>,"quit insert mode, without checking for abbreviation, unless 'insertmode' set.",,"|i_CTRL-C|	CTRL-C		quit insert mode, without checking for abbreviation, unless 'insertmode' set.",i_CTRL-C,builtin
i,,<C-d>,delete one shiftwidth of indent in the current line,,|i_CTRL-D|	CTRL-D		delete one shiftwidth of indent in the current line,i_CTRL-D,builtin
i,,<C-e>,insert the character which is below the cursor,,|i_CTRL-E|	CTRL-E		insert the character which is below the cursor,i_CTRL-E,builtin
i,,<C-f>,not used (but by default it's in 'cinkeys' to re-indent the current line),,		CTRL-F		not used (but by default it's in 'cinkeys' to re-indent the current line),,builtin
i,,<C-g><C-j>,"line down, to column where inserting started",,"|i_CTRL-G_j|	CTRL-G CTRL-J	line down, to column where inserting started",i_CTRL-G_j,builtin
i,,<C-g>j,"line down, to column where inserting started",,"|i_CTRL-G_j|	CTRL-G j	line down, to column where inserting started",i_CTRL-G_j,builtin
i,,<C-g><Down>,"line down, to column where inserting started",,"|i_CTRL-G_j|	CTRL-G <Down>	line down, to column where inserting started",i_CTRL-G_j,builtin
i,,<C-g><C-k>,"line up, to column where inserting started",,"|i_CTRL-G_k|	CTRL-G CTRL-K	line up, to column where inserting started",i_CTRL-G_k,builtin
i,,<C-g>k,"line up, to column where inserting started",,"|i_CTRL-G_k|	CTRL-G k	line up, to column where inserting started",i_CTRL-G_k,builtin
i,,<C-g><Up>,"line up, to column where inserting started",,"|i_CTRL-G_k|	CTRL-G <Up>	line up, to column where inserting started",i_CTRL-G_k,builtin
i,,<C-g>u,start new undoable edit,,|i_CTRL-G_u|	CTRL-G u	start new undoable edit,i_CTRL-G_u,builtin
i,,<C-g>U,don't break undo with next cursor movement,,|i_CTRL-G_U|	CTRL-G U	don't break undo with next cursor movement,i_CTRL-G_U,builtin
i,,<BS>,delete character before the cursor,,|i_<BS>|	<BS>		delete character before the cursor,i_<BS>,builtin
i,,<C-h>,same as <BS>,,|i_CTRL-H|	CTRL-H		same as <BS>,i_CTRL-H,builtin
i,,<Tab>,insert a <Tab> character,,|i_<Tab>|	<Tab>		insert a <Tab> character,i_<Tab>,builtin
